new_ward_code,old_ward_code
"28436","28462"
"28436","28480"
"20209","20209"
"20209","20206"
"20209","20207"
"20209","20215"
"20209","20218"
"00643","00646"
"00643","00643"
"07909","07909"
"07909","07906"
"07909","07903"
"07909","07912"
"07909","07936"
"19969","19969"
"19969","19972"
"19969","19966"
"00367","00355"
"00367","00343"
"00367","00367"
"25633","25633"
"25633","25618"
"11557","11557"
"11557","11569"
"11557","11521"
"13684","13723"
"13684","13720"
"13684","13684"
"19900","19900"
"19900","19915"
"19900","19903"
"25978","25978"
"25978","25963"
"25978","25981"
"25969","25972"
"25969","25969"
"19789","19786"
"19789","19789"
"19789","19780"
"19789","19783"
"19789","19798"
"19789","19795"
"31228","31219"
"31228","31228"
"09400","09400"
"09400","09412"
"09400","09424"
"09400","09406"
"13699","13699"
"13699","13756"
"24154","24130"
"24154","24154"
"18073","18077"
"18073","18091"
"18073","18079"
"18073","18109"
"18073","18073"
"18073","18094"
"18073","18085"
"18073","18097"
"18073","18082"
"16681","16678"
"16681","16663"
"16681","16672"
"16681","18013"
"16681","16669"
"16681","16681"
"10507","10507"
"10507","10510"
"10507","10519"
"10507","10663"
"13225","12433"
"13225","12436"
"13225","12451"
"13225","13225"
"13225","13207"
"13225","13216"
"13225","13210"
"16939","16939"
"16939","17003"
"16939","16993"
"29978","29978"
"29978","29962"
"29978","29977"
"00598","00595"
"00598","00598"
"12127","12124"
"12127","12127"
"12127","12112"
"12127","12115"
"11002","11002"
"11002","11017"
"11002","11005"
"26956","26953"
"26956","26956"
"26956","26920"
"03982","03984"
"03982","03982"
"23584","23584"
"23584","23579"
"23584","23578"
"04828","04819"
"04828","04789"
"04828","04828"
"31207","31212"
"31207","31210"
"31207","31207"
"26773","26773"
"26773","26764"
"31174","31169"
"31174","31174"
"31174","31171"
"25846","25846"
"31157","31157"
"31157","31156"
"31157","31227"
"28270","28270"
"28270","28591"
"30502","30511"
"30502","30502"
"30502","30517"
"01273","01267"
"01273","01282"
"01273","01273"
"01273","01705"
"01273","01696"
"25747","25747"
"25747","25753"
"25747","25756"
"26824","26824"
"26824","26815"
"26824","26827"
"11560","11578"
"11560","11560"
"11560","11572"
"19813","19807"
"19813","19813"
"19813","19981"
"13363","13369"
"13363","13354"
"13363","13363"
"22954","22954"
"22954","22966"
"07696","07708"
"07696","07711"
"07696","07705"
"07696","07696"
"28285","28276"
"28285","28285"
"28285","28567"
"26785","26785"
"26785","26776"
"31217","31217"
"31217","31216"
"31217","31222"
"14365","14368"
"14365","14365"
"14365","14380"
"05899","05899"
"05899","05896"
"05899","05902"
"05899","05905"
"04663","04663"
"04663","04294"
"04663","04624"
"04663","04285"
"21451","21442"
"21451","21451"
"21451","21454"
"21451","21448"
"12817","12460"
"12817","12817"
"12817","12457"
"12817","12820"
"12817","12811"
"29242","29239"
"29242","29242"
"29242","29260"
"09427","09427"
"09427","09421"
"09427","09415"
"16624","16630"
"16624","16639"
"16624","16624"
"16624","16603"
"21172","21172"
"21172","21223"
"21172","21202"
"21172","21232"
"29516","29516"
"29516","29527"
"13777","13657"
"13777","13777"
"16690","16693"
"16690","16675"
"16690","16711"
"16690","16673"
"16690","16699"
"16690","16690"
"16690","16714"
